TeamID,Overall,Attack,Midfield,Defence
1,80,83,79,79
2,77,77,77,77
1808,75,75,76,76
1796,76,75,76,77
5,82,82,84,82
1799,76,77,75,75
7,79,81,79,80
144,75,74,75,74
8,76,78,76,75
95,80,80,81,79
9,85,86,83,80
10,85,85,86,83
11,82,83,82,82
13,76,77,75,74
1794,73,71,74,73
17,76,77,77,76
18,82,89,82,81
109,73,74,74,72
19,78,79,79,77
110,79,77,81,78
69,78,79,77,77
1819,73,74,74,73
1530,75,75,75,74
110569,71,73,71,70
59,74,74,73,72
217,71,71,71,70
68,72,70,70,73
71,73,71,74,74
65,78,78,78,78
70,75,80,76,73
224,73,71,73,73
72,76,77,74,73
66,78,79,79,77
219,77,77,76,76
73,84,87,82,82
76,74,75,73,74
64,73,72,75,73
378,73,72,73,72
74,76,75,76,76
379,73,73,73,74
31,74,74,74,72
1831,73,75,72,73
169,73,72,73,73
32,79,78,78,78
22,81,87,81,81
23,79,78,79,80
159,72,72,72,71
1824,77,79,77,75
100409,74,73,74,74
21,84,92,85,82
34,74,74,75,72
166,76,77,76,75
112172,80,78,81,80
25,74,75,75,73
38,74,73,74,75
10029,76,75,77,76
36,73,74,73,72
175,78,78,78,77
39,79,82,79,78
112026,72,72,71,72
189,74,75,75,73
1842,75,76,73,73
110734,71,72,68,70
110374,76,78,76,75
110556,74,72,74,74
206,74,76,75,73
44,82,83,81,83
45,83,87,81,83
46,80,82,80,79
47,79,81,78,80
48,80,82,80,80
50,74,74,74,73
52,78,79,77,76
1837,75,76,75,73
111974,75,79,77,72
110741,70,70,70,67
54,76,76,74,77
55,75,76,75,72
448,79,80,78,79
240,83,85,82,83
479,76,76,77,75
1968,73,75,73,72
463,76,77,74,76
468,73,72,73,72
241,83,84,82,81
1860,77,77,78,77
110832,78,77,78,77
1853,76,79,76,75
450,75,80,75,75
449,78,79,79,78
243,85,84,86,84
457,79,81,81,77
462,75,76,76,74
467,76,76,75,74
110839,73,73,73,73
481,81,80,81,82
461,77,77,78,77
483,80,82,79,79
111019,71,71,71,72
110394,67,68,68,68
111708,69,70,69,68
1877,76,76,73,75
112965,67,68,68,65
111707,67,66,67,69
110404,69,65,70,65
110406,71,71,71,70
111711,68,68,68,68
110395,70,74,71,69
112670,71,72,69,72
111710,72,74,71,71
101083,70,69,72,69
101084,68,69,68,68
111706,67,67,68,67
110093,72,73,74,71
110396,71,70,69,71
110581,67,65,66,66
101085,73,71,74,73
1876,76,76,76,75
110580,70,72,70,67
1013,72,73,71,71
111716,69,70,68,68
101088,73,74,73,73
111393,64,66,64,65
111395,62,63,63,61
111396,61,64,61,60
114604,63,63,60,63
112224,65,68,64,65
111397,62,67,61,61
111398,61,60,60,63
111399,65,66,65,63
111400,67,69,67,67
111766,65,65,64,63
112427,64,64,67,60
114023,65,67,65,62
111821,65,67,63,65
191,73,75,72,73
256,67,69,66,68
252,71,71,70,71
15009,65,65,66,66
254,70,72,68,70
209,68,67,70,67
112075,65,66,64,65
780,65,66,65,65
2017,66,67,66,65
15040,65,66,65,65
111822,68,68,69,67
675,68,70,69,68
231,75,75,76,74
674,72,73,73,70
2013,69,70,69,69
673,73,75,71,73
1750,68,67,69,67
100081,69,68,70,69
110724,69,68,69,68
682,68,69,69,68
100087,69,73,70,69
229,72,73,72,71
230,72,75,72,73
111560,68,69,67,67
15005,68,71,69,66
680,68,70,67,68
670,71,71,72,71
232,72,71,72,71
110913,67,70,67,67
112119,71,70,71,73
1035,75,81,75,75
1598,71,69,71,71
517,69,67,69,71
111059,72,75,71,73
1039,72,74,71,72
1041,73,72,72,74
111044,70,70,70,69
1043,76,77,75,75
567,72,70,73,72
111052,71,70,71,72
111042,69,70,69,69
1629,74,75,72,75
1048,74,71,75,75
115199,67,66,66,68
383,74,74,76,74
112472,72,72,73,74
1053,73,74,72,73
598,75,78,75,76
112533,66,68,66,64
110978,65,66,64,63
111327,64,59,65,65
111328,69,70,67,68
110975,71,72,69,70
112535,68,68,67,67
111768,69,73,71,67
112165,60,60,60,54
112378,63,76,63,63
111839,70,73,70,68
112429,64,57,66,61
112978,62,60,62,62
111779,66,71,65,64
112162,62,62,64,61
112961,61,55,61,60
111724,68,59,70,65
110955,69,72,70,64
112540,68,68,72,65
111773,66,70,65,63
112985,63,63,62,61
111774,60,61,56,61
112541,66,71,63,68
101099,66,63,66,64
101100,68,67,70,67
111722,68,67,68,66
101102,66,71,64,67
111723,64,63,64,64
101104,64,65,64,63
101101,70,70,70,67
112523,65,65,67,63
211,73,74,74,72
266,75,75,75,75
267,73,73,73,70
110468,72,72,73,71
1446,63,62,63,64
820,66,64,68,66
271,68,66,70,67
269,68,69,69,67
819,72,72,71,68
1516,70,69,72,70
1788,65,63,65,63
15001,64,63,62,64
272,66,67,65,66
1786,65,63,64,65
1447,65,65,64,65
822,64,59,64,64
110981,69,66,68,70
110984,67,67,67,66
113723,64,65,65,61
112908,68,67,71,65
110986,69,69,68,67
114578,63,64,63,63
110987,63,66,60,63
1932,68,68,68,69
88,70,69,70,71
3,71,71,71,70
1943,74,72,75,71
1925,72,74,72,71
1919,70,70,68,70
1961,71,71,71,69
1800,68,67,70,69
91,70,68,70,69
1939,69,68,69,69
1923,69,68,68,69
12,70,70,70,71
97,70,70,67,70
1792,73,76,73,71
14,71,71,70,70
1801,70,66,71,69
15,69,72,69,69
